old,new
repere.icone.work,marker.icon.work
repere.icone.school,marker.icon.school
repere.icone.star,marker.icon.star
repere.icone.favorite,marker.icon.favorite
repere.icone.flight,marker.icon.flight
repere.icone.eco,marker.icon.eco
repere.icone.pets,marker.icon.pets
repere.teinte.rouge,marker.hue.red
repere.teinte.orange,marker.hue.orange
repere.teinte.ocre,marker.hue.ocre
repere.teinte.olive,marker.hue.olive
repere.teinte.vert,marker.hue.green
repere.teinte.sapin,marker.hue.sapin
repere.teinte.bleu,marker.hue.bleu
repere.teinte.indigo,marker.hue.indigo
repere.teinte.violet,marker.hue.violet
repere.teinte.magenta,marker.hue.magenta
repere.teinte.rose,marker.hue.rose
repere.teinte.brun,marker.hue.brun
compo.nouveau,compose.new
compo.re,compose.re
compo.tr,compose.tr
compo.bonjour,compose.hello
compo.sansObjet,compose.withoutSubject
compo.compteEmetteur,compose.sendingAccount
compo.destinataire,compose.recipient
compo.suggestions,compose.suggestions
compo.objetPlaceholder,compose.subjectPlaceholder
compo.corpsPlaceholder,compose.bodyPlaceholder
compo.cc,compose.cc
compo.cci,compose.cci
compo.police,compose.font
compo.policeSans,compose.fontWithout
compo.policeSerif,compose.fontSerif
compo.policeMono,compose.fontMono
compo.taille,compose.size
compo.taillePetit,compose.sizeSmall
compo.tailleNormal,compose.sizeNormal
compo.tailleGrand,compose.sizeLarge
compo.tailleTresGrand,compose.sizeVeryLarge
compo.gras,compose.bold
compo.italique,compose.italic
compo.souligne,compose.underline
compo.barre,compose.bar
compo.couleur,compose.color
compo.alignerGauche,compose.alignLeft
compo.alignerCentre,compose.alignCenter
compo.alignerDroite,compose.alignRight
compo.listePuces,compose.listChips
compo.listeNumerotee,compose.listNumbered
compo.retraitMoins,compose.indentLess
compo.retraitPlus,compose.indentMore
compo.effacerFormat,compose.clearFormat
compo.joindre,compose.attach
compo.retirerPiece,compose.removeAttachment
compo.rapatriement,compose.retrieving
compo.poidsTotal,compose.totalWeight
compo.pieceRefusee,compose.attachmentRefused
compo.enregistrerBrouillon,compose.saveDraft
compo.supprimerBrouillon,compose.deleteDraft
compo.supprConfirme,compose.deleteConfirme
compo.importantTitre,compose.importantTitle
compo.plusTard,compose.later
compo.differeQuand,compose.deferredWhen
compo.differeNote,compose.deferredNote
compo.programmer,compose.schedule
accueil.bienvenue,onboarding.welcome
accueil.etape,onboarding.step
accueil.ajouterSous,onboarding.addUnder
accueil.ajouter,onboarding.add
accueil.ajouterAutre,onboarding.addOther
accueil.retour,onboarding.back
accueil.continuer,onboarding.continue
accueil.terminer,onboarding.finish
accueil.voletsTitre,onboarding.panesTitle
accueil.voletsSous,onboarding.panesUnder
accueil.themeTitre,onboarding.themeTitle
accueil.themeSous,onboarding.themeUnder
accueil.betaTitre,onboarding.betaTitle
accueil.betaSous,onboarding.betaUnder
accueil.betaBouton,onboarding.betaButton
accueil.finTitre,onboarding.endTitle
accueil.finTexte,onboarding.endText
accueil.revenir,onboarding.revenir
accueil.theme,onboarding.theme
guichet.adresse,desk.address
guichet.mdp,desk.password
guichet.imap,desk.imap
guichet.smtp,desk.smtp
guichet.port,desk.port
guichet.adresseInvalide,desk.addressInvalid
guichet.autorisation,desk.authorization
guichet.verification,desk.checking
guichet.noteGenerique,desk.noteGeneric
guichet.horizon,desk.horizon
horizon.tout,horizon.all
boite.nettoyage,mailbox.cleanup
nettoyage.sousTitre,cleanup.subtitle
nettoyage.plage,cleanup.range
nettoyage.perimetre,cleanup.scope
nettoyage.perimetre.reception,cleanup.scope.inbox
nettoyage.perimetre.dossiers,cleanup.scope.folders
nettoyage.perimetre.dossiersArchives,cleanup.scope.foldersArchive
nettoyage.perimetre.archives,cleanup.scope.archive
nettoyage.demarrer,cleanup.start
nettoyage.progression,cleanup.progress
nettoyage.progressionAria,cleanup.progressAria
nettoyage.message,cleanup.message
nettoyage.messages,cleanup.messages
nettoyage.fini,cleanup.fini
nettoyage.terminer,cleanup.finish
reglages.horizonCompte,settings.horizonAccount
reglages.horizonTitre,settings.horizonTitle
reglages.horizonNote,settings.horizonNote
reglages.horizonImpossible,settings.horizonFailed
migration.titre,migration.title
migration.preparation,migration.preparing
migration.annulee,migration.cancelled
migration.echec,migration.failure
reglages.groupesAria,settings.groupsAria
groupe.comptes,group.accounts
groupe.themes,group.themes
groupe.affichage,group.display
groupe.notifications,group.notifications
groupe.signature,group.signature
groupe.raccourcis,group.shortcuts
groupe.apropos,group.about
reglages.sectionThemes,settings.sectionThemes
reglages.sectionRaccourcis,settings.sectionShortcuts
reglages.ajouterCompte,settings.addAccount
reglages.retirerCompte,settings.removeAccount
reglages.retirerConfirme,settings.removeConfirme
reglages.retraitEnCours,settings.removalInProgress
reglages.retraitImpossible,settings.indentFailed
reglages.sombreAuto,settings.darkAuto
reglages.sombreAutoDesc,settings.darkAutoDesc
reglages.langue,settings.language
reglages.langueDesc,settings.languageDesc
reglages.volets,settings.panes
reglages.voletsDesc,settings.panesDesc
volets.3,panes.3
volets.2,panes.2
volets.1,panes.1
reglages.espacement,settings.spacing
reglages.espacementDesc,settings.spacingDesc
espacement.faible,spacing.low
espacement.moyen,spacing.medium
espacement.eleve,spacing.high
reglages.imagesExpediteurs,settings.imagesSenders
reglages.imagesExpediteursDesc,settings.imagesSendersDesc
reglages.retirerExpediteur,settings.removeSender
nav.ouvrirTiroir,nav.openDrawer
nav.fermerTiroir,nav.closeDrawer
volets.poigneeNav,panes.handleNav
volets.poigneeListe,panes.handleList
reglages.bulles,settings.bubbles
reglages.bullesDesc,settings.bubblesDesc
reglages.noteRaccourcis,settings.noteShortcuts
reglages.version,settings.version
reglages.maj,settings.update
reglages.verifierMaj,settings.checkUpdate
reglages.verification,settings.checking
reglages.ajour,settings.up_to_date
reglages.majDisponible,settings.updateAvailable
reglages.majImpossible,settings.updateFailed
reglages.installation,settings.installing
reglages.signatureDesc,settings.signatureDesc
reglages.signaturePlaceholder,settings.signaturePlaceholder
reglages.signatureRepliques,settings.signatureRepliques
reglages.signatureRepliquesDesc,settings.signatureRepliquesDesc
reglages.signatureTous,settings.signatureAll
reglages.icones,settings.icons
reglages.iconesValeur,settings.iconsValue
reglages.origineValeur,settings.originValue
raccourci.touche.c,shortcut.key.c
raccourci.touche.r,shortcut.key.r
raccourci.touche.f,shortcut.key.f
raccourci.touche.e,shortcut.key.e
raccourci.touche.suppr,shortcut.key.delete
raccourci.touche.slash,shortcut.key.slash
raccourci.touche.echap,shortcut.key.echap
raccourci.geste.c,shortcut.gesture.c
raccourci.geste.r,shortcut.gesture.r
raccourci.geste.f,shortcut.gesture.f
raccourci.geste.e,shortcut.gesture.e
raccourci.geste.suppr,shortcut.gesture.delete
raccourci.geste.slash,shortcut.gesture.slash
raccourci.geste.echap,shortcut.gesture.echap
theme.elements.nom,theme.elements.name
theme.innamoramento.nom,theme.innamoramento.name
langue.fr,language.fr
langue.en,language.in
quand.mois,when.month
quand.jours,when.days
quand.hier,when.yesterday
quand.aujourdhui,when.today
quand.long,when.long
quand.premier,when.first
quand.dansAnnee,when.inYear
quand.auDela,when.auDela
