identifiant	occurrences	fichiers
bas	3	e2e/tests/refonte-ecran02.spec.js
blocEnvoi	3	e2e/tests/repere-ligne.spec.js
boiteCadre	3	e2e/tests/retours-14-reception.spec.js
choix	3	e2e/tests/refonte-langue.spec.js
commande	3	e2e/rebuild-v2.mjs
compteDepart	3	e2e/tests/refonte-defilement.spec.js
dejaConstruits	3	e2e/rebuild-v2.mjs
encore	3	e2e/tests/refonte-ecran02.spec.js
encreClaire	3	e2e/contraste.mjs
encreSombre	3	e2e/contraste.mjs
etape	3	e2e/launch.mjs
etiquette	3	e2e/tests/retours-14-reception.spec.js
fente	3	e2e/tests/refonte-retours-6.spec.js
fermer	3	e2e/port-cdp.test.mjs
fondDe	3	e2e/tests/refonte-retours-7.spec.js
glyphe	3	e2e/contraste.mjs
iSonde	3	e2e/tests/demarrage.spec.js
iconesRust	3	e2e/coherence-systeme.mjs
lireFichier	3	scripts/mesurer-sessions.mjs
listeJs	3	e2e/coherence-systeme.mjs
listeRust	3	e2e/coherence-systeme.mjs
nTraces	3	e2e/tests/refonte-retours-8.spec.js
non	3	e2e/tests/mode-organise.spec.js
oui	3	e2e/tests/mode-organise.spec.js
page0Arrivee	3	e2e/tests/refonte-defilement.spec.js
pieceConv	3	e2e/tests/refonte-volets.spec.js
pile	3	e2e/tests/mode-organise.spec.js
rangReception	3	e2e/tests/mode-organise.spec.js
reperes	3	e2e/jetons.mjs
suivante	3	e2e/tests/refonte-ecran02.spec.js
tenu	3	e2e/port-cdp.test.mjs
traces	3	e2e/tests/refonte-retours-8.spec.js
volets	3	e2e/capture-accueil.mjs
vue	3	e2e/capture-accueil.mjs
CLES_LOCALES	2	e2e/launch.mjs
FONDS_REPERE	2	e2e/contraste.mjs
HORS_POMPE	2	e2e/garde-thread-principal.mjs
REPERE_FAMILLES	2	e2e/contraste.mjs
SEUIL_MS	2	scripts/mesurer-sessions.mjs
archive	2	e2e/tests/refonte-parcours-portes.spec.js
archiver	2	e2e/tests/barres-fil.spec.js
auRepere	2	e2e/tests/refonte-retours-8.spec.js
barreSticky	2	e2e/tests/barres-fil.spec.js
brouillons	2	e2e/tests/refonte-retours-6.spec.js
categorie	2	scripts/mesurer-sessions.mjs
chantier	2	e2e/launch.mjs
cible	2	e2e/geste-defilement.mjs
corbeille	2	e2e/tests/selection-multiple.spec.js
court	2	e2e/tests/espacement.spec.js
dansLaGlu	2	e2e/garde-thread-principal.mjs
depuis	2	scripts/mesurer-sessions.mjs
depuisDefaut	2	scripts/mesurer-sessions.mjs
filet	2	e2e/tests/refonte-ecran02.spec.js
fondPastille	2	e2e/tests/refonte-ecran02.spec.js
heureEnvoi	2	e2e/tests/repere-ligne.spec.js
iListe	2	e2e/tests/demarrage.spec.js
interdit	2	e2e/coherence-systeme.mjs
largeurAvant	2	e2e/tests/refonte-retours-7.spec.js
lireSession	2	scripts/mesurer-sessions.mjs
liste	2	e2e/tests/refonte-defilement.spec.js
long	2	e2e/tests/espacement.spec.js
marge	2	e2e/tests/barres-fil.spec.js
message	2	e2e/tests/retours-14.spec.js
murBloque	2	scripts/mesurer-sessions.mjs
nomNon	2	e2e/tests/nettoyage.spec.js
ombre	2	e2e/tests/refonte-retours-7.spec.js
parDate	2	e2e/tests/retours-14-reception.spec.js
pastilles	2	e2e/coherence-systeme.mjs
portTenu	2	e2e/port-cdp.test.mjs
reperesJs	2	e2e/coherence-systeme.mjs
reponseOmbre	2	e2e/tests/barres-fil.spec.js
reponseSticky	2	e2e/tests/barres-fil.spec.js
retour	2	e2e/tests/barres-fil.spec.js
sansLesAppels	2	e2e/garde-thread-principal.mjs
simple	2	e2e/tests/selection-multiple.spec.js
sous	2	e2e/flaky.mjs
teinteSel	2	e2e/tests/selection-multiple.spec.js
teintesCss	2	e2e/coherence-systeme.mjs
teintesTrace	2	e2e/coherence-systeme.mjs
tete	2	e2e/tests/refonte-retours-6.spec.js
themeJs	2	e2e/coherence-systeme.mjs
videBas	2	e2e/tests/sections-liste.spec.js
NOMBRE_ATTENDU	1	e2e/jetons.mjs
ROLES_PASTILLES	1	e2e/coherence-systeme.mjs
ctxMoyen	1	scripts/mesurer-sessions.mjs
geste	1	e2e/tests/refonte-invitations.spec.js
icone	1	e2e/coherence-systeme.mjs
langue	1	e2e/coherence-systeme.mjs
lireReperes	1	e2e/jetons.mjs
lireThemes	1	e2e/jetons.mjs
nbJetons	1	e2e/coherence-systeme.mjs
nbThemes	1	e2e/coherence-systeme.mjs
purgerLocales	1	e2e/launch.mjs
reponseA	1	e2e/tests/retours-14-reception.spec.js
reservesCatalogue	1	e2e/coherence-systeme.mjs
tenirBarre	1	e2e/geste-defilement.mjs
