identifiant	occurrences	fichiers
enSynchro	11	apps/desktop/ui-v2/src/App.svelte
envoiEnCours	11	apps/desktop/ui-v2/src/Composition.svelte;apps/desktop/ui-v2/src/Retour.svelte
gesteSurEcho	11	apps/desktop/ui-v2/src/App.svelte
heure	11	apps/desktop/ui-v2/src/lib/invitation.js;apps/desktop/ui-v2/src/lib/quand.js
menuDecision	11	apps/desktop/ui-v2/src/Reglages.svelte
menuGestes	11	apps/desktop/ui-v2/src/Liste.svelte
noms	11	apps/desktop/ui-v2/src/App.svelte
nonLus	11	apps/desktop/ui-v2/src/Liste.svelte;apps/desktop/ui-v2/src/Nav.svelte
premier	11	apps/desktop/ui-v2/src/Liste.svelte
toast	11	apps/desktop/ui-v2/src/App.svelte
volSauvegarde	11	apps/desktop/ui-v2/src/Composition.svelte
autre	10	apps/desktop/ui-v2/src/Reglages.svelte;apps/desktop/ui-v2/src/lib/fil.svelte.js
chargementPlus	10	apps/desktop/ui-v2/src/Liste.svelte;apps/desktop/ui-v2/src/Registre.svelte
choixSuggere	10	apps/desktop/ui-v2/src/Composition.svelte
defauts	10	apps/desktop/ui-v2/src/Nettoyage.svelte;apps/desktop/ui-v2/src/Portier.svelte
derniere	10	apps/desktop/ui-v2/src/App.svelte
erreur	10	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/GuichetCompte.svelte
fermerSuggestions	10	apps/desktop/ui-v2/src/Composition.svelte
fin	10	apps/desktop/ui-v2/src/Liste.svelte;apps/desktop/ui-v2/src/lib/invitation.js
jetonCycle	10	apps/desktop/ui-v2/src/App.svelte
jour	10	apps/desktop/ui-v2/src/lib/quand.js
kiosque	10	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Nettoyage.svelte;apps/desktop/ui-v2/src/Portier.svelte;apps/desktop/ui-v2/src/Reglages.svelte;apps/desktop/ui-v2/src/lib/icones.js;apps/desktop/ui-v2/src/lib/portier.js
lignesBrouillons	10	apps/desktop/ui-v2/src/Liste.svelte
