layer,old,new,occurrences,files
e2e-scripts,apres,after,5,e2e/tests/espacement.spec.js;e2e/tests/refonte-retours-6.spec.js
e2e-scripts,avantSujet,subjectBefore,5,e2e/tests/espacement.spec.js
e2e-scripts,champA,toField,5,e2e/tests/refonte-ecran02.spec.js
e2e-scripts,colonne,column,5,e2e/tests/barres-fil.spec.js;e2e/tests/repere-ligne.spec.js
e2e-scripts,compareListes,compareLists,5,e2e/coherence-systeme.mjs
e2e-scripts,haut,top,5,e2e/tests/espacement.spec.js;e2e/tests/refonte-ecran02.spec.js
e2e-scripts,ligneAtelier,workshopRow,5,e2e/tests/refonte-invitations.spec.js
e2e-scripts,menuTri,sortMenu,5,e2e/tests/retours-14-reception.spec.js
e2e-scripts,nuit,night,5,e2e/contraste.mjs
e2e-scripts,ouvrirAtelier,openWorkshop,5,e2e/tests/refonte-invitations.spec.js
e2e-scripts,progression,progress,5,e2e/tests/refonte-ecran02.spec.js
e2e-scripts,sujetAuSommet,subjectAtTop,5,e2e/tests/espacement.spec.js
e2e-scripts,teinte,hue,5,e2e/coherence-systeme.mjs
e2e-scripts,themesDoc,docThemes,5,e2e/coherence-systeme.mjs
e2e-scripts,TEMOIN_THEME,THEME_WITNESS,4,e2e/global-teardown.mjs
e2e-scripts,adresse,address,4,e2e/tests/retours-14-reception.spec.js
e2e-scripts,champCc,ccField,4,e2e/tests/refonte-ecran02.spec.js
e2e-scripts,commandes,commands,4,e2e/garde-thread-principal.mjs;e2e/tests/selection-multiple.spec.js
e2e-scripts,derniere,last,4,e2e/tests/kiosque-images.spec.js
e2e-scripts,envoi,send,4,e2e/tests/repere-ligne.spec.js
e2e-scripts,erreur,error,4,e2e/tests/refonte-onboarding.spec.js
e2e-scripts,garde,guard,4,e2e/tests/kiosque-images.spec.js
e2e-scripts,groupe,group,4,e2e/contraste.mjs
e2e-scripts,historique,history,4,e2e/tests/mode-organise.spec.js
e2e-scripts,iconesJs,jsIcons,4,e2e/coherence-systeme.mjs
e2e-scripts,jetonsDoc,docTokens,4,e2e/coherence-systeme.mjs
e2e-scripts,marque,brand,4,e2e/tests/refonte-retours-6.spec.js
e2e-scripts,nomsCatalogue,catalogNames,4,e2e/coherence-systeme.mjs
e2e-scripts,nomsDoc,docNames,4,e2e/coherence-systeme.mjs
e2e-scripts,padGauche,leftPad,4,e2e/tests/selection-multiple.spec.js
e2e-scripts,premiereLue,firstRead,4,e2e/tests/sections-liste.spec.js
e2e-scripts,rangPortier,screenerRank,4,e2e/tests/mode-organise.spec.js
e2e-scripts,sousAgents,subagents,4,scripts/mesurer-sessions.mjs
e2e-scripts,sujet,subject,4,e2e/tests/menu-clavier.spec.js;e2e/tests/refonte-retours-7.spec.js
e2e-scripts,SONDES,PROBES,3,e2e/tests/demarrage.spec.js
e2e-scripts,aCocher,toCheck,3,e2e/tests/selection-multiple.spec.js
e2e-scripts,accueil,onboarding,3,e2e/tests/refonte-retours-8.spec.js
e2e-scripts,bas,bottom,3,e2e/tests/refonte-ecran02.spec.js
e2e-scripts,blocEnvoi,sendBlock,3,e2e/tests/repere-ligne.spec.js
e2e-scripts,boiteCadre,mailboxFrame,3,e2e/tests/retours-14-reception.spec.js
e2e-scripts,choix,choice,3,e2e/tests/refonte-langue.spec.js
e2e-scripts,commande,command,3,e2e/rebuild-v2.mjs
e2e-scripts,compteDepart,startAccount,3,e2e/tests/refonte-defilement.spec.js
